program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.8409090909090908,1.4564393939393943,1.4829545454545454,1.6271558132137927,1.0088345979835485,1.4895833333333335,1.2954545454545454,1.0520833333333335
bv_n19,19,5.055555555555555,5.055555555555555,4.125,5.055555555555555,2.6666666666666665,3.73148148148148,3.611111111111111,3.986111111111111
gcm_n13,13,0.6882352941176471,0.5336601307189541,0.5161764705882353,0.5200359147398378,0.3577214101985845,0.5857843137254901,0.5642156862745098,0.4761437908496731
ising_n26,26,1.0,0.4583333333333333,0.75,0.42318511551165555,0.42318511551165555,0.4583333333333333,0.75,0.4583333333333333
knn_n25,25,1.6451612903225807,1.4623655913978493,1.3548387096774193,1.3720195921959906,0.999343871374294,1.3158602150537633,1.1653225806451613,1.125
multiplier_n15,15,2.4511278195488724,2.8709273182957395,2.1203007518796992,2.214242216340808,1.4603605499972925,2.1817042606516286,1.8383458646616542,1.5939849624060145
qec9xz_n17,17,6.416666666666667,5.583333333333333,4.0,6.416666666666667,3.5833333333333335,4.7013888888888875,4.333333333333333,5.75
qft_n18,18,2.5,2.1717171717171717,2.840909090909091,2.3137670585704933,1.204099829617724,1.829545454545456,1.753787878787879,1.6603535353535355
qpeexact_16,16,4.674418604651163,4.674418604651163,2.938953488372093,4.284766339753654,2.2203492715134856,2.6211240310077484,2.752906976744186,3.046511627906976
qram_n20,20,2.448717948717949,2.2350427350427347,3.105769230769231,2.2321259821968717,1.439601430301794,2.032051282051281,2.032051282051282,2.4989316239316235
sat_n11,11,1.7941176470588236,1.4959150326797386,1.2977941176470589,1.5476505529783187,1.093142285216365,1.430555555555556,1.224264705882353,1.0927287581699352
swap_test_n25,25,1.7258064516129032,1.438172043010753,1.3669354838709677,1.463249259610784,1.0254616524203546,1.118279569892473,1.1612903225806452,1.1491935483870968
wstate_n27,27,1.0357142857142858,1.0178571428571428,1.5,1.0178571428571423,0.9999999999999994,1.0178571428571428,1.0178571428571428,1.0089285714285714
