program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.8068181818181819,2.6950757575757573,2.1818181818181817,1.597162815106733,1.0314259973577553,1.879734848484848,1.6278409090909092,1.2187500000000002
bv_n19,19,3.2777777777777777,3.2777777777777777,2.7916666666666665,3.2777777777777777,1.8888888888888888,2.5231481481481475,2.388888888888889,2.5509259259259256
gcm_n13,13,0.6372549019607843,0.51078431372549,0.5544117647058824,0.4684123503036611,0.34183115312164325,0.5439542483660129,0.5661764705882353,0.4547385620915034
ising_n26,26,4.25,4.291666666666667,3.1875,2.806990363573364,1.6819903635733642,2.4166666666666665,3.125,2.479166666666667
knn_n25,25,1.935483870967742,1.9274193548387097,1.8991935483870968,1.6125436461613063,1.1347868796921317,1.4865591397849462,2.0524193548387095,1.7258064516129035
multiplier_n15,15,1.8796992481203008,1.7656641604010026,1.8214285714285714,1.661082325764718,1.1796588155428036,1.6817042606516286,1.6973684210526316,1.423558897243108
qec9xz_n17,17,4.333333333333333,7.0,6.1875,4.2727027626451575,2.3863513813225787,3.2916666666666665,5.458333333333333,5.854166666666667
qft_n18,18,5.2727272727272725,5.055555555555557,2.6136363636363638,4.661103048324834,2.3932024737398416,4.376262626262625,2.7916666666666665,2.667929292929292
qpeexact_16,16,4.604651162790698,3.374031007751938,3.427325581395349,4.044754509072504,2.09073046756471,2.7848837209302277,2.6947674418604652,2.2858527131782944
qram_n20,20,2.9358974358974357,2.4358974358974357,2.605769230769231,2.6652256166915143,1.7253528966754514,2.6175213675213658,2.016025641025641,2.425213675213675
sat_n11,11,1.7450980392156863,1.1740196078431373,1.6838235294117647,1.4742114091937373,1.0780308719888354,1.5281862745098043,1.178921568627451,1.1323529411764708
swap_test_n25,25,2.2580645161290325,1.7876344086021507,1.875,1.8614487641986253,1.2838630219150307,1.5094086021505377,2.1370967741935485,2.016129032258065
wstate_n27,27,2.4642857142857144,2.4345238095238093,2.6517857142857144,2.4533256429609787,1.744519964337632,1.8571428571428572,2.1607142857142856,2.074404761904762
