program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.9923076923076923,1.9692307692307693,1.9326923076923077,1.5871794871794866,1.5692307692307692,1.8057692307692308
bv,19,2.4444444444444446,2.4444444444444446,2.125,1.9074074074074074,1.8611111111111112,1.9305555555555556
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336
knn,25,1.2857142857142858,1.3095238095238095,1.3928571428571428,1.0357142857142858,1.0714285714285714,1.0803571428571428
multiplier,15,2.873873873873874,2.4774774774774775,2.375,2.327327327327332,2.0833333333333335,2.1936936936936937
qec9xz,17,3.9375,3.9375,2.8359375,2.8177083333333335,2.609375,2.875
qft,18,1.4901960784313726,1.450435729847495,1.1176470588235294,1.0476579520697171,0.9967320261437909,1.1013071895424837
qpeexact,16,3.0653846153846156,2.6769230769230754,2.3019230769230767,2.0320512820512877,2.0115384615384615,2.087179487179487
qram,20,3.230769230769231,3.1076923076923078,2.8038461538461537,2.466666666666668,2.3653846153846154,2.4307692307692306
sat,11,2.2817460317460316,2.126984126984127,2.0327380952380953,1.6712962962962972,1.7996031746031746,1.7301587301587302
swap_test,25,1.2857142857142858,1.3095238095238095,1.3928571428571428,1.0357142857142858,1.0714285714285714,1.0803571428571428
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
