program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.7045454545454546,1.8068181818181819,1.7471590909090908,1.4753787878787883,1.4772727272727273,1.4602272727272727
bv,19,2.611111111111111,2.611111111111111,2.375,2.185185185185185,2.138888888888889,2.2083333333333335
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.4193548387096775,1.3548387096774193,1.0483870967741935,1.096774193548387,1.1088709677419355
multiplier,15,2.2030075187969924,1.9548872180451127,1.962406015037594,1.7725563909774424,1.6353383458646618,1.7048872180451127
qec9xz,17,4.166666666666667,4.166666666666667,3.4375,3.125,3.0833333333333335,3.1875
qft,18,1.5,1.4191919191919193,1.125,1.0303030303030298,0.9848484848484849,1.071969696969697
qpeexact,16,3.2674418604651163,2.7790697674418596,2.4505813953488373,1.9447674418604644,1.8604651162790697,2.0823643410852712
qram,20,2.5641025641025643,2.58974358974359,2.2788461538461537,1.90491452991453,1.9102564102564104,1.939102564102564
sat,11,1.9068627450980393,1.6446078431372548,1.75,1.3672385620915029,1.4313725490196079,1.375
swap_test,25,1.3870967741935485,1.4193548387096775,1.3548387096774193,1.0483870967741935,1.096774193548387,1.1088709677419355
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
