program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.7045454545454546,1.88,1.3037974683544304,1.813333333333333,1.3533333333333337,1.44,1.1518987341772151,1.5866666666666667
bv_n19,19,2.7222222222222223,2.5555555555555554,1.4166666666666667,2.611111111111109,1.4166666666666659,1.8333333333333333,1.0,2.0416666666666665
cat_state_n22,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n16,16,2.1875,4.0,2.1875,5.8067695798720775,4.218845012387395,3.0,1.8125,3.25
gcm_n13,13,1.3019607843137255,1.5947158524426734,1.0795755968169762,1.6202881425140796,1.1231051950903281,1.148445336008025,1.0,1.3640230172629488
ghz_state_n23,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n26,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n25,25,1.467741935483871,1.875,1.14,1.9545454545454526,1.2045454545454541,1.3068181818181819,1.0,1.5738636363636365
multiplier_n15,15,2.1052631578947367,2.4788135593220337,1.3811475409836065,2.305084745762713,1.4512711864406782,1.6694915254237288,1.2377049180327868,1.8580508474576272
qec9xz_n17,17,3.3333333333333335,3.5,1.7916666666666667,2.9999999999999996,2.1666666666666665,2.25,1.5,2.6458333333333335
qf21_n15,15,1.4553571428571428,3.4587813620071683,1.3671875,5.856831668294158,3.2065274543679165,2.286738351254481,1.0,2.5304659498207895
qft_n18,18,2.5757575757575757,5.3307692307692305,2.5757575757575757,7.643750000000003,4.152500000000001,3.553846153846154,2.1515151515151514,3.503846153846154
qpeexact_16,16,2.616279069767442,5.237113402061851,2.586206896551724,7.024340411884892,3.7862437597700596,4.249999999999999,1.9767441860465116,4.659630606860158
qram_n20,20,1.8974358974358974,2.522727272727273,1.3,2.2121212121212133,1.3560606060606062,1.4924242424242424,1.3571428571428572,1.7651515151515151
sat_n11,11,1.7843137254901962,1.8567251461988303,1.1923076923076923,2.03508771929825,1.305555555555557,1.3187134502923976,1.1593406593406594,1.6491228070175439
swap_test_n25,25,1.4193548387096775,1.9431818181818181,1.14,1.9431818181818168,1.2215909090909085,1.3068181818181819,1.1,1.5738636363636365
wstate_n27,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
