program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.9846153846153847,1.9153846153846155,1.823076923076923,1.3993589743589743,1.5076923076923077,1.5326923076923078
bv,19,2.0,2.0,2.125,1.574074074074074,1.5555555555555556,1.5833333333333333
ising,26,1.78,1.1866666666666665,1.335,0.9666666666666665,1.16,0.88
knn,25,1.619047619047619,1.5833333333333333,1.5982142857142858,1.3154761904761905,1.3095238095238095,1.3244047619047619
multiplier,15,2.2387387387387387,2.1216216216216215,2.02027027027027,1.762387387387388,1.7139639639639639,1.731981981981982
qec9xz,17,3.1875,3.1875,2.8359375,2.604166666666667,2.40625,2.65625
qft,18,1.6928104575163399,1.5272331154684111,1.2696078431372548,1.1141067538126372,1.1437908496732025,1.1683006535947715
qpeexact,16,2.5307692307692307,2.2397435897435893,1.9211538461538462,1.6487179487179533,1.5923076923076922,1.7246794871794875
qram,20,2.546153846153846,2.353846153846154,2.1865384615384613,1.882692307692306,1.873076923076923,1.8
sat,11,2.003968253968254,1.8134920634920635,1.8333333333333333,1.4424603174603168,1.5238095238095237,1.4851190476190477
swap_test,25,1.619047619047619,1.5833333333333333,1.5982142857142858,1.3154761904761905,1.3095238095238095,1.3244047619047619
wstate,27,1.5192307692307692,1.5192307692307692,2.0625,1.4166666666666663,1.2307692307692308,1.6057692307692308
