program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.8636363636363635,1.7954545454545454,1.7897727272727273,1.3200757575757576,1.3693181818181819,1.3380681818181819
bv,19,2.1666666666666665,2.1666666666666665,2.0,1.7407407407407407,1.7222222222222223,1.75
ising,26,4.0,4.625,3.0,2.3749999999999996,2.25,2.3749999999999996
knn,25,1.6290322580645162,1.4516129032258065,1.5120967741935485,1.185483870967742,1.2661290322580645,1.282258064516129
multiplier,15,1.9248120300751879,1.9210526315789473,1.894736842105263,1.6340852130325811,1.6165413533834587,1.5845864661654134
qec9xz,17,3.5833333333333335,3.5833333333333335,3.25,2.7777777777777786,2.6666666666666665,2.8333333333333335
qft,18,2.378787878787879,2.391414141414141,1.7840909090909092,1.7992424242424263,1.9166666666666667,1.8156565656565664
qpeexact,16,2.941860465116279,2.562015503875968,2.616279069767442,1.8003875968992247,2.1744186046511627,2.0823643410852712
qram,20,2.4615384615384617,1.9935897435897436,2.0384615384615383,1.485042735042735,1.6474358974358974,1.6025641025641026
sat,11,1.7745098039215685,1.625,1.6801470588235294,1.3280228758169932,1.3897058823529411,1.3566176470588236
swap_test,25,1.6290322580645162,1.4516129032258065,1.5120967741935485,1.185483870967742,1.2661290322580645,1.282258064516129
wstate,27,1.4285714285714286,1.4285714285714286,1.8482142857142858,1.4226190476190474,1.4285714285714286,1.4553571428571428
