program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.353846153846154,1.2076923076923076,1.425,1.0782051282051281,1.1730769230769231,1.0576923076923077
bv,19,1.6111111111111112,1.6111111111111112,1.5,1.3703703703703705,1.2222222222222223,1.375
ising,26,1.0,0.3833333333333334,0.75,0.3833333333333333,0.75,0.38333333333333336
knn,25,1.2857142857142858,1.1904761904761905,1.4732142857142858,1.0634920634920635,1.0714285714285714,1.0416666666666667
multiplier,15,1.563063063063063,1.4954954954954955,1.5810810810810811,1.2886636636636633,1.2747747747747749,1.259009009009009
qec9xz,17,1.96875,1.96875,1.78125,1.5260416666666665,1.578125,1.5390625
qft,18,1.3529411764705883,1.0653594771241837,1.0147058823529411,0.7889433551198239,0.934640522875817,0.8297930283224394
qpeexact,16,1.5346153846153847,1.1442307692307694,1.1048076923076924,0.9471153846153826,1.0326923076923078,0.8929487179487173
qram,20,1.6538461538461537,1.5,1.551923076923077,1.2115384615384612,1.273076923076923,1.3076923076923077
sat,11,1.5515873015873016,1.3333333333333333,1.443452380952381,1.1064814814814812,1.1884920634920635,1.1319444444444444
swap_test,25,1.2857142857142858,1.1904761904761905,1.4732142857142858,1.0634920634920635,1.0714285714285714,1.0416666666666667
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
