program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.4318181818181819,1.2045454545454546,1.4829545454545454,1.0568181818181819,1.1022727272727273,1.0198863636363635
bv,19,1.7222222222222223,1.7222222222222223,1.5833333333333333,1.3055555555555556,1.3333333333333333,1.3055555555555556
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.1129032258064515,1.4274193548387097,1.077956989247312,1.096774193548387,0.9838709677419355
multiplier,15,1.5714285714285714,1.605263157894737,1.5620300751879699,1.3170426065162906,1.2669172932330828,1.3796992481203008
qec9xz,17,1.9166666666666667,1.9166666666666667,2.3125,1.5694444444444444,1.5833333333333333,1.5833333333333333
qft,18,2.242424242424242,1.540404040404041,1.6818181818181819,1.2285353535353538,1.5909090909090908,1.267676767676768
qpeexact,16,2.186046511627907,1.4379844961240318,1.5784883720930232,1.2083333333333346,1.622093023255814,1.153100775193799
qram,20,1.3846153846153846,1.358974358974359,1.4423076923076923,1.1549145299145298,1.1538461538461537,1.2243589743589745
sat,11,1.4803921568627452,1.2696078431372548,1.4816176470588236,1.0641339869281046,1.2279411764705883,1.1053921568627452
swap_test,25,1.3870967741935485,1.1129032258064515,1.4274193548387097,1.077956989247312,1.096774193548387,0.9838709677419355
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
