program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.2954545454545454,1.2733333333333334,1.0886075949367089,1.3866666666666658,1.0333333333333337,1.0666666666666667,1.0126582278481013,1.17
bv_n19,19,1.2222222222222223,1.3333333333333333,1.0,1.2777777777777775,1.0,1.0,1.0,1.1111111111111112
cat_state_n22,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n16,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gcm_n13,13,1.2647058823529411,1.5044865403788656,1.0583554376657824,1.520692729023886,1.0807736445280047,1.097793380140422,1.0,1.299474605954467
ghz_state_n23,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n26,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n25,25,1.2580645161290323,1.5227272727272727,1.06,1.4886363636363622,1.0852272727272725,1.0681818181818181,1.0,1.2386363636363635
multiplier_n15,15,1.5714285714285714,1.63135593220339,1.1434426229508197,1.5677966101694925,1.0805084745762714,1.1779661016949152,1.0655737704918034,1.3622881355932204
qec9xz_n17,17,1.8333333333333333,2.0833333333333335,1.3333333333333333,1.8333333333333344,1.3750000000000002,1.5,1.1666666666666667,1.5
qf21_n15,15,1.1517857142857142,1.8745519713261658,1.09375,3.0137459625929566,1.8510478479681522,1.3906810035842294,1.0,1.600358422939069
qft_n18,18,2.287878787878788,4.661538461538464,2.515151515151515,5.862910156250001,3.3362499999999975,3.2846153846153845,1.878787878787879,3.661538461538462
qpeexact_16,16,2.0232558139534884,3.8195876288659774,2.0919540229885056,4.539898756714768,2.7054285180362303,2.7021276595744665,1.6511627906976745,2.8759894459102884
qram_n20,20,1.4615384615384615,1.5075757575757576,1.1071428571428572,1.5454545454545454,1.0984848484848486,1.1136363636363635,1.0571428571428572,1.2992424242424243
sat_n11,11,1.2696078431372548,1.3216374269005848,1.032967032967033,1.365497076023393,1.0438596491228076,1.0614035087719298,1.0054945054945055,1.172514619883041
swap_test_n25,25,1.2903225806451613,1.4545454545454546,1.03,1.4545454545454535,1.0511363636363635,1.0681818181818181,1.0,1.2386363636363635
wstate_n27,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
