program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.3615384615384616,1.2153846153846153,1.4653846153846153,1.0923076923076922,1.15,1.0807692307692307
bv,19,1.8888888888888888,1.7777777777777777,1.875,1.3148148148148147,1.3055555555555556,1.5
ising,26,1.0,0.38333333333333336,0.75,0.3833333333333334,0.75,0.3833333333333334
knn,25,1.3095238095238095,1.1904761904761905,1.4107142857142858,1.0952380952380953,1.130952380952381,1.0982142857142858
multiplier,15,1.6216216216216217,1.5405405405405406,1.5912162162162162,1.2417417417417416,1.3175675675675675,1.2792792792792793
qec9xz,17,1.75,1.5625,1.8515625,1.5625,1.578125,1.5859375
qft,18,1.4379084967320261,1.102941176470589,1.1053921568627452,0.8044662309368172,1.0326797385620916,0.8061002178649229
qpeexact,16,1.5961538461538463,1.2044871794871794,1.2173076923076922,0.9615384615384595,1.1192307692307693,0.9621794871794863
qram,20,1.7,1.5076923076923077,1.6153846153846154,1.1884615384615385,1.2307692307692308,1.2423076923076923
sat,11,1.5317460317460319,1.3333333333333333,1.4672619047619047,1.0988756613756612,1.2222222222222223,1.0873015873015872
swap_test,25,1.3333333333333333,1.2261904761904763,1.4553571428571428,1.080357142857143,1.1011904761904763,1.1011904761904763
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
