program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.375,1.2386363636363635,1.5511363636363635,1.0643939393939394,1.1193181818181819,1.1846590909090908
bv,19,1.6111111111111112,1.6111111111111112,1.5833333333333333,1.25,1.25,1.25
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.4193548387096775,1.032258064516129,1.3790322580645162,1.0510752688172043,1.1129032258064515,1.0161290322580645
multiplier,15,1.6090225563909775,1.5413533834586466,1.5281954887218046,1.363408521303258,1.3082706766917294,1.3270676691729324
qec9xz,17,2.0,1.8333333333333333,1.75,2.0972222222222223,1.625,1.7083333333333333
qft,18,2.393939393939394,1.7626262626262632,1.8181818181818181,1.262626262626263,1.9696969696969697,1.1906565656565655
qpeexact,16,2.116279069767442,1.4011627906976751,1.6133720930232558,1.2228682170542648,1.436046511627907,1.242248062015504
qram,20,1.4102564102564104,1.435897435897436,1.5096153846153846,1.1431623931623933,1.2179487179487178,1.2275641025641026
sat,11,1.4313725490196079,1.267156862745098,1.4926470588235294,1.1470588235294117,1.161764705882353,1.0747549019607843
swap_test,25,1.403225806451613,1.1209677419354838,1.3306451612903225,1.0658602150537633,1.1370967741935485,1.064516129032258
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
