program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,2.1923076923076925,2.0076923076923077,2.146153846153846,1.6576923076923067,1.7192307692307693,1.6884615384615385
bv,19,2.3333333333333335,2.3333333333333335,2.0,1.814814814814815,1.7777777777777777,1.8333333333333333
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336
knn,25,2.7142857142857144,2.5,2.544642857142857,2.0158730158730154,2.0654761904761907,2.0625
multiplier,15,2.2837837837837838,2.144144144144144,2.2263513513513513,1.7548798798798813,1.7815315315315314,1.7927927927927927
qec9xz,17,4.15625,4.15625,3.6796875,3.223958333333334,3.0625,3.3046875
qft,18,1.7352941176470589,1.508169934640524,1.3014705882352942,1.1165577342047943,1.1830065359477124,1.160403050108933
qpeexact,16,2.6076923076923078,2.305769230769231,1.958653846153846,1.7070512820512873,1.775,1.7705128205128213
qram,20,2.9615384615384617,2.753846153846154,2.6365384615384615,2.167307692307691,2.203846153846154,2.223076923076923
sat,11,2.4206349206349205,2.2222222222222223,2.2261904761904763,1.776785714285716,1.8353174603174602,1.8244047619047619
swap_test,25,2.7142857142857144,2.5,2.544642857142857,2.0158730158730154,2.0654761904761907,2.0625
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
