program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,2.4318181818181817,2.284090909090909,2.34375,1.8636363636363633,1.8863636363636365,1.9005681818181819
bv,19,2.4444444444444446,2.4444444444444446,2.1666666666666665,1.9259259259259258,1.8888888888888888,1.9444444444444444
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,3.3225806451612905,3.032258064516129,2.9153225806451615,2.376344086021506,2.443548387096774,2.439516129032258
multiplier,15,2.225563909774436,2.1578947368421053,2.210526315789474,1.7731829573934828,1.7518796992481203,1.8082706766917294
qec9xz,17,4.166666666666667,4.166666666666667,3.625,3.2083333333333335,3.0416666666666665,3.2916666666666665
qft,18,2.878787878787879,1.9646464646464663,2.159090909090909,1.5378787878787894,2.0303030303030303,1.5858585858585867
qpeexact,16,3.8372093023255816,3.162790697674418,2.886627906976744,2.374031007751935,2.645348837209302,2.4563953488372086
qram,20,2.717948717948718,2.5705128205128207,2.5096153846153846,2.052350427350427,2.0641025641025643,2.1025641025641026
sat,11,2.1715686274509802,2.0122549019607843,2.1066176470588234,1.6491013071895428,1.696078431372549,1.6862745098039216
swap_test,25,3.3225806451612905,3.032258064516129,2.9153225806451615,2.376344086021506,2.443548387096774,2.439516129032258
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
