program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.9307692307692308,1.7692307692307692,1.9384615384615385,1.4775641025641018,1.5384615384615385,1.5057692307692307
bv,19,2.9444444444444446,2.9444444444444446,2.625,2.3055555555555554,2.2222222222222223,2.3472222222222223
ising,26,1.6,0.9833333333333332,1.2,0.8166666666666668,1.15,0.8333333333333333
knn,25,2.142857142857143,1.9404761904761905,2.125,1.612103174603175,1.6845238095238095,1.6458333333333333
multiplier,15,2.108108108108108,1.981981981981982,2.074324324324324,1.6291291291291299,1.6576576576576576,1.6644144144144144
qec9xz,17,2.9375,2.9375,2.765625,2.34375,2.25,2.390625
qft,18,1.9313725490196079,1.5735294117647078,1.4485294117647058,1.1819172113289784,1.3300653594771241,1.2257625272331163
qpeexact,16,2.3230769230769233,1.937820512820515,1.7423076923076923,1.4522435897435932,1.5961538461538463,1.5032051282051295
qram,20,2.5,2.3,2.3134615384615387,1.8448717948717932,1.9,1.8903846153846153
sat,11,2.2817460317460316,2.0674603174603177,2.1160714285714284,1.6663359788359802,1.744047619047619,1.7063492063492063
swap_test,25,2.142857142857143,1.9404761904761905,2.125,1.612103174603175,1.6845238095238095,1.6458333333333333
wstate,27,1.4615384615384615,1.4615384615384615,1.8461538461538463,1.333333333333333,1.3076923076923077,1.3461538461538463
