program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,2.1931818181818183,2.028409090909091,2.164772727272727,1.6770833333333337,1.7272727272727273,1.7130681818181819
bv,19,2.7222222222222223,2.7222222222222223,2.4166666666666665,2.1296296296296293,2.0555555555555554,2.1666666666666665
ising,26,3.75,2.958333333333333,2.8125,2.333333333333333,2.625,2.395833333333333
knn,25,2.3870967741935485,2.1129032258064515,2.213709677419355,1.708333333333334,1.814516129032258,1.75
multiplier,15,1.9323308270676691,1.8458646616541354,1.9511278195488722,1.5363408521303255,1.537593984962406,1.5601503759398496
qec9xz,17,3.0,3.0,2.875,2.416666666666667,2.3333333333333335,2.4583333333333335
qft,18,3.3181818181818183,2.5681818181818175,2.4886363636363638,1.950757575757578,2.3106060606060606,2.0151515151515156
qpeexact,16,3.744186046511628,2.9379844961240287,2.808139534883721,2.228682170542633,2.5988372093023258,2.304263565891471
qram,20,2.5,2.3653846153846154,2.375,1.9102564102564106,1.9230769230769231,1.9583333333333333
sat,11,2.1715686274509802,2.014705882352941,2.0919117647058822,1.6450163398692812,1.6911764705882353,1.6813725490196079
swap_test,25,2.3870967741935485,2.1129032258064515,2.213709677419355,1.708333333333334,1.814516129032258,1.75
wstate,27,1.8928571428571428,1.8928571428571428,2.2767857142857144,1.684523809523809,1.6428571428571428,1.7053571428571428
