program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,2.2613636363636362,2.397727272727273,3.090909090909091,1.8117707632918398,2.463294239746539,1.75,1.2727272727272727,1.9801136363636365
bv_n19,19,2.6666666666666665,2.888888888888889,3.4444444444444446,2.3561944901923444,2.879793265790644,2.2777777777777777,1.4444444444444444,2.4583333333333335
cat_state_n22,22,2.857142857142857,1.9523809523809523,3.3333333333333335,1.5333964142521614,1.9073955396795181,1.9523809523809523,1.380952380952381,1.5476190476190477
dnn_n16,16,2.875,2.375,3.125,1.9438604544086848,2.3939347617959346,1.75,1.21875,1.6875
gcm_n13,13,1.6274509803921569,1.3016339869281042,1.9843137254901961,1.0129751312502977,1.4176340885708776,0.992810457516341,0.884313725490196,1.0990196078431382
ghz_state_n23,23,2.772727272727273,1.9090909090909092,2.9545454545454546,1.427996660722634,1.7849958259032925,1.0909090909090908,1.2272727272727273,1.3522727272727273
ising_n26,26,3.0,3.4166666666666665,3.5,2.7527675251923447,2.0895988059936204,2.5416666666666665,1.5,2.3124999999999996
knn_n25,25,2.225806451612903,2.217741935483871,2.467741935483871,1.6594703129849306,1.9761631208064825,1.4516129032258065,1.2903225806451613,1.596774193548387
multiplier_n15,15,2.075187969924812,1.830827067669173,2.81203007518797,1.6091804475624387,2.060932022749692,1.4661654135338347,1.1804511278195489,1.5469924812030076
qec9xz_n17,17,4.583333333333333,3.25,4.0,3.2724923474893663,4.057890510886817,2.8333333333333335,1.75,2.9375
qf21_n15,15,1.9464285714285714,1.703869047619047,2.080357142857143,1.2713550592454,1.339740470619623,1.1190476190476193,0.8392857142857143,1.3065476190476188
qft_n18,18,4.0606060606060606,2.7297979797979783,3.5303030303030303,1.8732868792060293,1.9898984717517756,1.9419191919191932,1.378787878787879,2.1414141414141423
qpeexact_16,16,4.209302325581396,3.674418604651164,4.151162790697675,2.1882876955869652,2.4454084048226763,2.0620155038759673,1.3837209302325582,2.631782945736432
qram_n20,20,2.4615384615384617,2.25,3.1666666666666665,1.8527341290401336,2.391436715472998,1.5576923076923077,1.2692307692307692,2.201923076923077
sat_n11,11,2.122549019607843,2.019607843137255,2.7745098039215685,1.538071403320007,2.1078700708828575,1.4950980392156863,1.1862745098039216,1.642156862745098
swap_test_n25,25,2.467741935483871,2.096774193548387,2.8548387096774195,1.4314514913534133,2.1408433808736893,1.3709677419354838,1.1612903225806452,1.4153225806451613
wstate_n27,27,3.0714285714285716,2.5357142857142856,2.9285714285714284,2.159844949342981,2.861093309519276,1.6071428571428572,1.4642857142857142,1.8571428571428572
