program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.5923076923076922,1.4076923076923078,1.748076923076923,1.2397435897435896,1.3307692307692307,1.2557692307692307
bv,19,1.7222222222222223,1.7222222222222223,1.875,1.4722222222222223,1.4444444444444444,1.4861111111111112
ising,26,1.0,0.3833333333333333,0.75,0.3833333333333333,0.75,0.3833333333333333
knn,25,1.7142857142857142,1.5119047619047619,1.8035714285714286,1.3025793650793656,1.3988095238095237,1.3244047619047619
multiplier,15,1.7657657657657657,1.6126126126126126,1.8614864864864864,1.3806306306306304,1.4436936936936937,1.402027027027027
qec9xz,17,1.78125,1.78125,2.0625,1.5572916666666665,1.515625,1.578125
qft,18,1.434640522875817,1.0462962962962963,1.0759803921568627,0.8055555555555535,1.0032679738562091,0.831971677559912
qpeexact,16,1.7076923076923076,1.2121794871794875,1.2836538461538463,0.9439102564102542,1.2,0.9721153846153833
qram,20,1.7769230769230768,1.5615384615384615,1.8,1.3230769230769226,1.426923076923077,1.3461538461538463
sat,11,1.619047619047619,1.380952380952381,1.6607142857142858,1.1874999999999998,1.3154761904761905,1.2053571428571428
swap_test,25,1.7142857142857142,1.5119047619047619,1.8035714285714286,1.3025793650793656,1.3988095238095237,1.3244047619047619
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
