program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.7272727272727273,1.5738636363636365,1.8664772727272727,1.363636363636364,1.4261363636363635,1.3835227272727273
bv,19,1.7222222222222223,1.7222222222222223,2.0,1.5185185185185184,1.5,1.5277777777777777
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.8709677419354838,1.596774193548387,1.8387096774193548,1.3400537634408602,1.4758064516129032,1.3669354838709677
multiplier,15,1.6466165413533835,1.5225563909774436,1.7988721804511278,1.3245614035087716,1.3759398496240602,1.3402255639097744
qec9xz,17,2.6666666666666665,2.6666666666666665,2.875,2.2500000000000004,2.1666666666666665,2.2916666666666665
qft,18,2.6515151515151514,1.972222222222223,1.9886363636363635,1.5063131313131324,1.8636363636363635,1.5555555555555562
qpeexact,16,2.895348837209302,2.0271317829457356,2.1802325581395348,1.5833333333333346,2.046511627906977,1.6298449612403105
qram,20,1.9230769230769231,1.7564102564102564,1.9711538461538463,1.4871794871794877,1.5512820512820513,1.5096153846153846
sat,11,1.5245098039215685,1.357843137254902,1.6397058823529411,1.1821895424836597,1.2696078431372548,1.1973039215686274
swap_test,25,1.8709677419354838,1.596774193548387,1.8387096774193548,1.3400537634408602,1.4758064516129032,1.3669354838709677
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
