program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.6931818181818181,1.5113636363636365,2.602272727272727,1.3699842963807756,1.8028457841623229,1.2840909090909092,1.0795454545454546,1.3693181818181819
bv_n19,19,2.0555555555555554,2.0,3.3333333333333335,1.5707963267948968,2.5307274153917785,1.3333333333333333,1.2777777777777777,1.75
cat_state_n22,22,1.0,1.0,2.0,0.7853981633974486,1.5707963267948972,1.0,1.0,1.0
dnn_n16,16,1.0,0.375,1.0,0.2144548583680153,0.31109999222641294,0.375,0.5,0.375
gcm_n13,13,1.5509803921568628,1.308169934640522,1.9607843137254901,0.9709052318064252,1.3833771571009568,0.9803921568627463,0.8627450980392157,1.1091503267973857
ghz_state_n23,23,1.0,1.0,2.0,0.7853981633974487,1.5707963267948974,1.0,1.0,1.0
ising_n26,26,1.0,0.4583333333333333,1.0,0.33236881249999994,0.6647376249999999,0.4583333333333333,0.5,0.4583333333333333
knn_n25,25,1.7903225806451613,1.596774193548387,2.435483870967742,1.102090971218999,1.8494859976778615,1.1612903225806452,1.1129032258064515,1.2338709677419355
multiplier_n15,15,1.8571428571428572,1.6390977443609023,2.556390977443609,1.3670652242594663,1.8837745422841017,1.2857142857142858,1.1428571428571428,1.400375939849624
qec9xz_n17,17,1.8333333333333333,2.25,3.5833333333333335,1.832595714594046,2.159844949342983,2.3333333333333335,1.6666666666666667,2.2083333333333335
qf21_n15,15,1.4375,1.0431547619047623,1.6875,0.7176975648749601,0.8610836797711633,0.7395833333333334,0.7053571428571429,0.8727678571428574
qft_n18,18,2.727272727272727,2.1944444444444446,3.0454545454545454,1.4656721585584316,1.806888462697066,1.5606060606060612,1.1363636363636365,1.8194444444444458
qpeexact_16,16,2.697674418604651,1.7713178294573637,2.6511627906976742,1.197009466808445,1.476450934281835,1.2034883720930238,0.9883720930232558,1.6666666666666672
qram_n20,20,1.9102564102564104,1.7692307692307692,2.371794871794872,1.3694121823340113,2.0138414446088397,1.3974358974358974,1.141025641025641,1.5480769230769231
sat_n11,11,1.392156862745098,1.2916666666666667,2.1127450980392157,1.1087974071493378,1.4514466058864586,1.0318627450980393,0.9803921568627451,1.1360294117647058
swap_test_n25,25,1.7741935483870968,1.4516129032258065,2.5806451612903225,1.089423258906137,1.798815148426413,1.185483870967742,1.0806451612903225,1.1330645161290323
wstate_n27,27,1.0,1.0,2.0,0.7853981633974488,1.5707963267948977,1.0,1.0,1.0
