program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,2.1,1.9346153846153846,2.019230769230769,1.5826923076923065,1.6346153846153846,1.6134615384615385
bv,19,2.2222222222222223,2.2222222222222223,2.125,1.7962962962962965,1.75,1.8194444444444444
ising,26,3.2,2.7666666666666657,2.505,2.123333333333334,2.24,2.1833333333333336
knn,25,2.5714285714285716,2.4285714285714284,2.330357142857143,1.9186507936507935,1.9345238095238095,1.9732142857142858
multiplier,15,3.481981981981982,3.3513513513513513,3.074324324324324,2.609984984984988,2.5675675675675675,2.6813063063063063
qec9xz,17,4.78125,4.78125,4.03125,3.6406250000000018,3.453125,3.734375
qft,18,2.650326797385621,2.356209150326797,1.9901960784313726,1.7385620915032731,1.8022875816993464,1.8080065359477129
qpeexact,16,2.896153846153846,2.5916666666666672,2.183653846153846,1.9157051282051343,1.9711538461538463,1.9913461538461548
qram,20,4.323076923076923,4.1461538461538465,3.6807692307692306,3.1737179487179534,3.1115384615384616,3.275
sat,11,2.2857142857142856,2.0575396825396823,2.0952380952380953,1.6554232804232816,1.744047619047619,1.6904761904761905
swap_test,25,2.5714285714285716,2.4285714285714284,2.330357142857143,1.9186507936507935,1.9345238095238095,1.9732142857142858
wstate,27,2.0384615384615383,2.0384615384615383,2.2788461538461537,1.7500000000000004,1.6923076923076923,1.7788461538461537
