program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.7727272727272727,1.625,1.78125,1.3655303030303036,1.4261363636363635,1.3835227272727273
bv,19,2.111111111111111,2.111111111111111,1.9583333333333333,1.6851851851851853,1.6388888888888888,1.7083333333333333
ising,26,6.25,5.916666666666667,5.25,4.541666666666666,4.5,4.666666666666667
knn,25,2.193548387096774,2.0080645161290325,2.0201612903225805,1.6034946236559144,1.6612903225806452,1.653225806451613
multiplier,15,2.7593984962406015,2.68796992481203,2.5093984962406015,2.115914786967417,2.06390977443609,2.169172932330827
qec9xz,17,3.8333333333333335,3.8333333333333335,3.375,2.9583333333333335,2.8333333333333335,3.0208333333333335
qft,18,3.621212121212121,3.176767676767676,2.727272727272727,2.356060606060606,2.477272727272727,2.4381313131313136
qpeexact,16,2.9767441860465116,2.6395348837209305,2.258720930232558,1.9660852713178292,2.0348837209302326,2.0387596899224807
qram,20,3.0128205128205128,2.83974358974359,2.7115384615384617,2.2457264957264953,2.2435897435897436,2.301282051282051
sat,11,1.8431372549019607,1.6887254901960784,1.8051470588235294,1.3978758169934635,1.4607843137254901,1.4178921568627452
swap_test,25,2.193548387096774,2.0080645161290325,2.0201612903225805,1.6034946236559144,1.6612903225806452,1.653225806451613
wstate,27,1.9285714285714286,1.9285714285714286,2.25,1.69047619047619,1.6428571428571428,1.7142857142857142
